City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,24.47,81,9,4.24,MU,1699214875
1,nuku'alofa,-21.1333,-175.2,26.19,83,40,7.2,TO,1699214875
2,west island,-12.1568,96.8225,24.99,88,75,6.17,CC,1699214595
3,blackmans bay,-43.0167,147.3167,10.07,91,23,0.45,AU,1699214875
4,waitangi,-43.9535,-176.5597,12.12,90,100,2.24,NZ,1699214875
5,puerto natales,-51.7236,-72.4875,12.25,43,75,8.23,CL,1699214876
6,kiunga,-6.1219,141.2906,22.39,100,84,0.64,PG,1699214876
7,atafu village,-8.5421,-172.5159,28.81,74,64,4.31,TK,1699214876
8,praia da vitoria,38.7333,-27.0667,14.31,80,37,5.99,PT,1699214876
9,jinchang,38.4953,102.1739,2.11,14,0,1.42,CN,1699214876
10,cooper's town,26.8667,-77.5167,24.55,81,8,7.49,BS,1699214877
11,edinburgh of the seven seas,-37.0676,-12.3116,13.14,69,98,3.24,SH,1699214877
12,timbo,-26.8233,-49.2717,23.28,61,0,2.64,BR,1699214877
13,labrador city,52.9463,-66.9114,-7.05,68,75,8.75,CA,1699214877
14,abong mbang,3.9833,13.1833,20.32,97,66,0.35,CM,1699214877
15,adamstown,-25.066,-130.1015,22.74,75,100,7.29,PN,1699214877
16,grytviken,-54.2811,-36.5092,0.52,86,75,2.94,GS,1699214877
17,udachny,66.4167,112.4,-11.06,86,100,3.85,RU,1699214878
18,tiksi,71.6872,128.8694,-24.0,99,95,2.1,RU,1699214878
19,albany,42.6001,-73.9662,13.58,53,30,1.79,US,1699214634
20,howrah,22.5892,88.3103,26.0,78,40,0.0,IN,1699214878
21,tual,-5.6667,132.75,27.34,79,99,6.18,ID,1699214842
22,georgetown,5.4112,100.3354,25.96,92,20,1.03,MY,1699214580
23,enewetak,11.3474,162.3373,28.37,74,100,8.49,MH,1699214878
24,veinticinco de mayo,-35.4323,-60.1727,25.55,43,9,3.13,AR,1699214879
25,ambon,-3.6954,128.1814,26.16,15,20,3.09,ID,1699214879
26,walvis bay,-22.9575,14.5053,15.05,83,2,4.55,NA,1699214879
27,bredasdorp,-34.5322,20.0403,15.3,89,10,0.77,ZA,1699214879
28,nyurba,63.2842,118.3319,-14.05,94,100,1.66,RU,1699214879
29,tabas,33.5959,56.9244,17.12,63,88,1.03,IR,1699214879
30,ilulissat,69.2167,-51.1,-4.99,39,40,7.2,GL,1699214879
31,bethel,41.3712,-73.414,17.64,52,75,3.6,US,1699214880
32,ust-nera,64.5667,143.2,-20.73,99,99,1.81,RU,1699214880
33,iqaluit,63.7506,-68.5145,-3.15,63,100,8.23,CA,1699214644
34,port lincoln,-34.7333,135.8667,12.61,86,1,3.39,AU,1699214880
35,constantia,44.1833,28.65,13.38,66,2,6.52,RO,1699214880
36,mount isa,-20.7333,139.5,21.87,15,11,3.09,AU,1699214880
37,labuan,5.2767,115.2417,27.22,82,78,2.6,MY,1699214881
38,port-aux-francais,-49.35,70.2167,3.31,75,94,10.64,TF,1699214881
39,tosya,41.0155,34.0401,15.62,60,100,2.84,TR,1699214881
